2026-04-29 23:58:24 | ERROR    | pipeline.llm | Unexpected error in LLM extraction: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash\nPlease retry in 36.020061347s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.0-flash'}}, {'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.0-flash'}}, {'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_input_token_count', 'quotaId': 'GenerateContentInputTokensPerModelPerMinute-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.0-flash'}}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '36s'}]}}
2026-04-29 23:58:24 | DEBUG    | pipeline.combine | Field 'loss_type' sourced from: rules
2026-04-29 23:58:24 | DEBUG    | pipeline.combine | Field 'estimated_cost' sourced from: rules
2026-04-29 23:58:24 | DEBUG    | pipeline.combine | Field 'severity' sourced from: llm
2026-04-29 23:58:24 | INFO     | pipeline.combine | Combined result: {'loss_type': 'mechanical', 'estimated_cost': 85000.0, 'severity': None, 'summary': None}
2026-04-29 23:58:24 | WARNING  | pipeline.validate | Invalid severity '' → defaulting to 'medium'
2026-04-29 23:58:24 | WARNING  | pipeline.validate | Missing or empty summary → using default.
2026-04-29 23:58:24 | INFO     | pipeline.validate | Validation complete: {'loss_type': 'mechanical', 'estimated_cost': 85000.0, 'severity': 'medium', 'summary': 'No summary available.'}
2026-04-29 23:58:24 | INFO     | __main__ | Pipeline completed in 1.219s. Output: {'loss_type': 'mechanical', 'estimated_cost': 85000.0, 'severity': 'medium', 'summary': 'No summary available.'}
2026-04-29 23:58:24 | INFO     | __main__ | Pipeline started for input: 'flood damaged car, water entered cabin, seats destroyed'
2026-04-29 23:58:24 | DEBUG    | pipeline.preprocess | Preprocessed: 'flood damaged car, water entered cabin, seats destroyed' → 'flood damaged car, water entered cabin, seats destroyed'
2026-04-29 23:58:24 | DEBUG    | pipeline.rules | Rule matched loss_type='flood'
